系所名稱,系號-序號,年級,類別,科目名稱,學分選必修,教師姓名,已選課人數/餘額,時間/教室,課程大綱
(A9)通識中心 GE,"['A9-316', 'A930801', '[GE2312]']",[],['自然與工程科學'],['運動與科學'],"['2', '必修']",['邱宏達'],['58/2'],"['[4]5~6', '企管系館', '62229']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A930801&class_code=
(A9)通識中心 GE,"['A9-317', 'A933401-3', '[GE2308]']",[],['自然與工程科學'],['WWW網頁設計'],"['2', '必修']",['陳明輝'],['17/28'],"['[3]3~4', '資訊大樓', '75301']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A933401&class_code=3
(A9)通識中心 GE,"['A9-318', 'A946001-1', '[GE2304]']",[],['自然與工程科學'],['電腦入門與應用'],"['2', '必修']",['陳明輝'],['21/24'],"['[1]7~8', '資訊大樓', '75301']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A946001&class_code=1
(A9)通識中心 GE,"['A9-319', 'A933002-1', '[GE2306]']",[],['自然與工程科學'],['科技與國防'],"['2', '必修']",['郭文良'],['97/3'],"['[3]1~2', '雲平大樓', '27103(通識中心']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A933002&class_code=1
(A9)通識中心 GE,"['A9-320', 'A933002-2', '[GE2306]']",[],['自然與工程科學'],['科技與國防'],"['2', '必修']",['郭文良'],['100/額滿'],"['[3]3~4', '雲平大樓', '27103(通識中心']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A933002&class_code=2
(A9)通識中心 GE,"['A9-321', 'A92L600', '[GE2325]']",[],['自然與工程科學'],['R語言入門'],"['2', '必修']",['楊家琛'],['43/2'],"['[1]5~6', '資訊大樓', '75209']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92L600&class_code=
(A9)通識中心 GE,"['A9-322', 'A92C600', '[GE2306]']",[],['自然與工程科學'],['影像編修入門'],"['2', '必修']",['楊家琛'],['42/3'],"['[1]7~8', '資訊大樓', '75209']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92C600&class_code=
(A9)通識中心 GE,"['A9-400', 'A92A500', '[GE2557]']",[],['科際整合'],"['性別與社會', '性別研究學分學程，醫學、科技與社會學程(STM)', '科際整合：人、社']","['2', '必修']",['蔡玫姿'],['30/額滿'],"['[4]5~6', '共同教室', 'A1304']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92A500&class_code=
(A9)通識中心 GE,"['A9-401', 'A939200', '[GE2122]']",[],['科際整合'],"['探索科學圖像', '醫學、科技與社會學程(STM)，應用哲學學程', '英語授課', '英文授課;', '科際整合:人社自生']","['2', '必修']",['區曣中'],['49/額滿'],"['[2]5~6', '共同教室', 'A1307(資源後)']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A939200&class_code=
(A9)通識中心 GE,"['A9-402', 'A92J600', '[GE2592]']",[],['科際整合'],"['英語智能與社區服務', '英語授課', '英語授課，科際整合：人文學、社會科學']","['3', '必修']","['高實玫*', '陳慧琴']",['35/1'],"['[1]N~6', '修齊大樓', '26402']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92J600&class_code=
(A9)通識中心 GE,"['A9-403', 'A94A100', '[GE2553]']",[],['科際整合'],"['生態工程概論', '科際整合相關領域：自然與工程科學、生命科學與健康']","['2', '必修']",['陳景文'],['60/額滿'],"['[5]5~6', '雲平大樓', '27103(通識中心']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A94A100&class_code=
(A9)通識中心 GE,"['A9-404', 'A935100', '[GE2609]']",[],['科際整合'],"['科技與生命價值', 'moocs', '科際整合相關領域：人文學、社會科學、自然與工程科學、生命科學與健康', '具服務學習內涵課程']","['2', '必修']","['邵揮洲*', '鄭淑惠', '賴麗娟', '張書銓', '王建力', '方冠榮', '洪郁修', '楊大和', '蔡美玲']",['38/2'],"['[5]1~2', '系統系館', '56113']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A935100&class_code=
(A9)通識中心 GE,"['A9-406', 'A92J400', '[GE2590]']",[],['科際整合'],"['開放資料與智慧生活', '科際整合相關領域：人文學、自然與工程科學']","['2', '必修']",['朱宏杰'],['77/3'],"['[4]3~4', '成功校區經緯廳', '經緯廳']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92J400&class_code=
(A9)通識中心 GE,"['A9-407', 'A941700', '[GE2535]']",[],['科際整合'],"['科學行銷概論', '新聞與傳播學程', '遠距教學,相關領域：社會科學、自然與工程科學']","['2', '必修']","['李旺龍*', '黃紀茸']",['75/15'],"['[3]7~8', '資訊大樓', '格致廳大講堂']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A941700&class_code=
(A9)通識中心 GE,"['A9-408', 'A9E2900', '[GE2516]']",[],['科際整合'],"['生醫用工程學導論', '科際整合相關領域：自然與工程科學、生命科學與健康']","['2', '必修']","['涂庭源*', '王士豪', '張憲彰', '張志涵', '葉明龍', '鄭國順', '莊漢聲', '黃執中', '吳炳慶', '林哲偉']",['85/5'],"['[5]3~4', '醫技醫工館', '5734']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A9E2900&class_code=
(A9)通識中心 GE,"['A9-409', 'A939300', '[GE2123]']",[],['科際整合'],"['智慧健康生活概論', '科際整合相關領域：自然與工程科學、生命科學與健康']","['1', '必修']",['李榮顯'],['32/8'],"['[2]6', '系統系館', '56113']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A939300&class_code=
(A9)通識中心 GE,"['A9-410', 'A92I600', '[GE2594]']",[],['科際整合'],"['西拉雅語文數位復育及線上教育', '科際整合:人自']","['2', '必修']","['楊中平*', '盧文祥']",['10/20'],"['[2]5~6', '資訊系館', '4204']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92I600&class_code=
(A9)通識中心 GE,"['A9-411', 'A9K0400', '[GE2533]']",[],['科際整合'],"['如何培養３創？', '設計思考跨域創力學程(創力學程)', '業界專家參與', '科際整合相關領域：人文學、社會科學、自然與工程科學']","['2', '必修']",['劉世南*'],['201/99'],"['[2]3~4', '資訊大樓', '格致廳大講堂']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A9K0400&class_code=
(A9)通識中心 GE,"['A9-412', 'A92I800', '[GE2596]']",[],['科際整合'],"['創意行銷:社區、文化與場域', '英語授課', '英語授課，科際整合相關領域：人文學、社會科學']","['2', '必修']","['仲曉玲*', '陳慧琴']",['29/1'],"['[4]5~6', '耐震大樓(建築研究大樓旁)', '5118']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92I800&class_code=
(A9)通識中心 GE,"['A9-413', 'A913902', '[GE2540]']",[],['科際整合'],"['音樂美術與都巿文化', '美學與藝術跨域學分學程', '科際整合相關領域：人文學、社會科學、自然與工程科學']","['2', '必修']",['王維潔'],['119/1'],"['[5]7~8', '建築系館', '5101']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A913902&class_code=
(A9)通識中心 GE,"['A9-415', 'A94A700', '[GE2560]']",[],['科際整合'],"['倫理與組織行為', '業界專家參與', '科際整合相關領域：社會科學、生命科學與健康']","['2', '必修']",['蔣麗君'],['25/35'],"['[2]5~6', '工科系館', '41104']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A94A700&class_code=
(A9)通識中心 GE,"['A9-416', 'A92A600', '[GE2558]']",[],['科際整合'],"['諾貝爾生醫獎得主所改變的世界', '科際整合：人文學、社會科學、自然與工程科學、生命科學與健康']","['2', '必修']","['洪良宜*', '王涵青', '張純純', '劉宗霖', '洪建中', '林鼎晏', '羅玉枝', '郭瑋君', '呂曉沛', '陳炳焜']",['158/2'],"['[4]5~6', '生科院大樓南側', '892S1']",http://class-qry.acad.ncku.edu.tw/syllabus/syllabus.php?syear=0108&sem=2&co_no=A92A600&class_code=
